Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,LEXAR,JD FIREFLY 2GB,601,4.88,61,https://usb.userbenchmark.com/SpeedTest/10782/LEXAR-JD-FIREFLY
USB,,Kingston,DataTraveler 109 8GB,602,4.85,47,https://usb.userbenchmark.com/SpeedTest/1228/Kingston-DataTraveler-109
USB,,Kingston,DataTraveler SE9 8GB,603,4.82,652,https://usb.userbenchmark.com/SpeedTest/2584/Kingston-DataTraveler-SE9
USB,,Cisco,AM10 0GB,604,4.8,21,https://usb.userbenchmark.com/SpeedTest/10577/Cisco-AM10
USB,,ADATA,USB Flash Drive 4GB,605,4.79,11,https://usb.userbenchmark.com/SpeedTest/13330/ADATA-USB-Flash-Drive
USB,,Kingston,DT 101 G2 8GB,606,4.77,1179,https://usb.userbenchmark.com/SpeedTest/1472/Kingston-DT-101-G2
USB,,Kingston,DT Micro 8GB,607,4.75,176,https://usb.userbenchmark.com/SpeedTest/3115/Kingston-DT-Micro
USB,,Ut163,USB2FlashStorage 2GB,608,4.74,43,https://usb.userbenchmark.com/SpeedTest/6699/Ut163-USB2FlashStorage
USB,,Verbatim,STORE N GO 16GB,609,4.7,2062,https://usb.userbenchmark.com/SpeedTest/2709/Verbatim-STORE-N-GO
USB,,,,610,4.69,36,https://usb.userbenchmark.com/SpeedTest/7002/
USB,,JetFlash,TS2GJFV30 2GB,611,4.67,112,https://usb.userbenchmark.com/SpeedTest/10269/JetFlash-TS2GJFV30
USB,,PNY,USB 2.0 FD 4GB,612,4.65,71,https://usb.userbenchmark.com/SpeedTest/6266/PNY-USB-20-FD
USB,,USB,FLASH DRIVE 1GB,613,4.64,129,https://usb.userbenchmark.com/SpeedTest/3314/USB-FLASH-DRIVE
USB,,UFD,2.0 Silicon-Power4G 4GB,614,4.64,75,https://usb.userbenchmark.com/SpeedTest/6047/UFD-20-Silicon-Power4G
USB,,JetFlash,TS4GJFV30 4GB,615,4.55,113,https://usb.userbenchmark.com/SpeedTest/3281/JetFlash-TS4GJFV30
USB,,Intenso,Rainbow Line 16GB,616,4.55,341,https://usb.userbenchmark.com/SpeedTest/7359/Intenso-Rainbow-Line
